"put the grape at (1,1), and then move it to (2,2)","{'grape': (2.0, 2.0)}",[]
"put the grape at (1,1), and then move it to (2,2)","{'grape': (2.0, 2.0)}",[]
"put the grape at (1,1), and then move it to (2,2)","{'grape': (2.0, 2.0)}",[]
"put the grape on the plate, and then bring the plate to the location of table","{'grape': (0.2, 0.5), 'plate': (0.9, 0.1), 'table': (0.9, 0.1)}","[['plate', 'table']]"
"put the grape on the plate, and then bring the plate to the location of table","{'grape': (0.2, 0.5), 'plate': (0.9, 0.1), 'table': (0.9, 0.1)}","[['plate', 'table']]"
move bear to the grass.,"{'bear': (1264.631552853819, 773.094552645367), 'grass': (1264.631552853819, 773.094552645367)}","[['bear', 'grass']]"
move bear to the grass.,"{'bear': (1264.631552853819, 773.094552645367), 'grass': (1264.631552853819, 773.094552645367)}","[['bear', 'grass']]"
move bear to the grass.,"{'bear': (1264.631552853819, 773.094552645367), 'grass': (1264.631552853819, 773.094552645367)}","[['bear', 'grass']]"
move bear to the grass.,"{'bear': (1264.631552853819, 773.094552645367), 'grass': (1264.631552853819, 773.094552645367)}","[['bear', 'grass']]"
move bear to the grass.,"{'bear': (1264.631552853819, 773.094552645367), 'grass': (1264.631552853819, 773.094552645367)}","[['bear', 'grass']]"
move stick to the beach.,"{'stick': (1257.0663096332562, 777.9475471029342)}",[]
move stick to the beach.,"{'stick': (667.5029850367096, 393.1392170312222), 'beach': (667.5029850367096, 393.1392170312222)}","[['stick', 'beach']]"
move mango to the dragon fruit.,"{'mango': (608.0011362666569, 364.855872133426), 'dragon fruit': (608.0011362666569, 364.855872133426)}","[['mango', 'dragon fruit']]"
move mango to the dragon fruit.,"{'mango': (608.0011362666569, 364.855872133426), 'dragon fruit': (608.0011362666569, 364.855872133426)}","[['mango', 'dragon fruit']]"
move horse to the mountain.,"{'horse': (1143.62628292653, 673.3228551411667), 'mountain': (1143.62628292653, 673.3228551411667)}","[['horse', 'mountain']]"
move knife to the plate.,"{'knife': (867.3048270619536, 395.93643101482326), 'plate': (550.6141055703195, 398.9108019384086)}",[]
move knife to the plate.,"{'knife': (550.6141055703195, 398.9108019384086), 'plate': (550.6141055703195, 398.9108019384086)}","[['knife', 'plate']]"
move knife to the plate.,"{'knife': (550.6115352346808, 398.89699789993693), 'plate': (550.6115352346808, 398.89699789993693)}","[['knife', 'plate']]"
move knife to the plate.,"{'knife': (546.5943313358566, 432.4058296273472), 'plate': (546.5943313358566, 432.4058296273472)}","[['knife', 'plate']]"
